gpt4omini,llama70b,llama8b,phi4,qwen7b,tulu3,scenario_power,scenario_expertise,scenario_stakes,scenario_emotional,scenario_formality,scenario_duration,user_initial_E,user_initial_A,user_initial_C,user_initial_N,user_initial_O,bot_initial_E,bot_initial_A,bot_initial_C,bot_initial_N,bot_initial_O,E_distance,A_distance,C_distance,N_distance,O_distance,conversation_sentiment,avg_user_reply,avg_bot_reply
1,0,0,0,0,0,0.8,0.7,0.9,0.8,0.9,0.1,12,8,36,32,6,23,39,31,22,36,-11,-31,5,10,-30,1.0,320.8,225.9
1,0,0,0,0,0,0.2,0.3,0.2,0.5,0.3,0.4,6,16,28,32,13,25,38,33,22,35,-19,-22,-5,10,-22,1.0,302.0,285.4
1,0,0,0,0,0,0.3,0.5,0.3,0.6,0.2,0.3,20,16,16,18,6,25,39,32,23,33,-5,-23,-16,-5,-27,-0.4,290.1,308.3
1,0,0,0,0,0,-0.2,0.7,0.7,0.4,0.6,0.3,34,26,15,25,35,25,39,32,23,36,9,-13,-17,2,-1,1.0,246.2,278.3
1,0,0,0,0,0,0.4,0.7,0.8,0.7,0.5,0.3,10,20,18,16,18,25,39,32,22,35,-15,-19,-14,-6,-17,0.8,250.2,249.2
1,0,0,0,0,0,0.4,0.8,0.7,0.5,0.6,0.6,4,25,25,17,19,24,39,31,22,35,-20,-14,-6,-5,-16,0.9,269.0,283.0
1,0,0,0,0,0,0.0,0.3,0.7,0.5,0.5,0.6,36,21,0,0,32,23,39,32,21,35,13,-18,-32,-21,-3,1.0,302.2,292.8
1,0,0,0,0,0,-0.6,0.6,0.8,0.9,0.7,0.2,24,0,12,28,12,24,39,30,23,35,0,-39,-18,5,-23,-0.5,269.5,299.4
1,0,0,0,0,0,0.8,0.7,0.9,0.8,0.9,0.1,36,12,8,32,28,24,38,31,22,35,12,-26,-23,10,-7,1.0,313.0,289.5
1,0,0,0,0,0,0.4,0.7,0.8,0.7,0.5,0.3,36,18,3,6,21,25,38,32,22,33,11,-20,-29,-16,-12,1.0,256.4,278.3
1,0,0,0,0,0,0.0,0.5,0.9,0.6,0.9,0.5,16,40,8,16,20,25,39,32,22,35,-9,1,-24,-6,-15,1.0,276.5,304.1
1,0,0,0,0,0,-0.2,0.8,0.8,0.6,0.6,0.5,8,20,2,19,9,24,38,32,23,35,-16,-18,-30,-4,-26,0.9,248.1,293.2
1,0,0,0,0,0,0.4,0.9,0.9,0.6,0.8,0.7,20,16,38,22,33,24,39,31,22,32,-4,-23,7,0,1,0.9,289.1,327.7
1,0,0,0,0,0,0.3,0.7,0.8,0.6,0.6,0.5,40,40,36,36,40,23,39,33,22,34,17,1,3,14,6,1.0,273.3,292.2
1,0,0,0,0,0,0.5,0.7,0.8,0.9,0.8,0.4,34,40,18,29,31,24,39,33,22,34,10,1,-15,7,-3,1.0,268.7,285.5
1,0,0,0,0,0,0.3,0.8,0.4,0.2,0.5,0.2,22,40,20,10,18,24,38,32,22,35,-2,2,-12,-12,-17,1.0,256.0,248.5
