feature,coefficient,abs_coefficient
bot_initial_A,-3.4561791991671234,3.4561791991671234
qwen7b,-1.8431276381680546,1.8431276381680546
gpt4omini,1.6217997811454503,1.6217997811454503
A_distance,1.0441451981144056,1.0441451981144056
conversation_sentiment,0.9955131541815505,0.9955131541815505
phi4,0.9685932167677063,0.9685932167677063
tulu3,-0.7506181469041634,0.7506181469041634
scenario_expertise,0.6755760555946916,0.6755760555946916
llama8b,-0.6268731037641115,0.6268731037641115
llama70b,0.6023098952967045,0.6023098952967045
scenario_stakes,-0.5801780719889198,0.5801780719889198
avg_bot_reply,0.5370343009677597,0.5370343009677597
scenario_duration,0.3894860282000207,0.3894860282000207
scenario_emotional,0.3855790914318844,0.3855790914318844
N_distance,-0.28137342317739783,0.28137342317739783
user_initial_N,-0.24619575027849508,0.24619575027849508
user_initial_E,-0.22837747893396565,0.22837747893396565
E_distance,-0.19026088998015184,0.19026088998015184
avg_user_reply,-0.1799013412024597,0.1799013412024597
bot_initial_N,0.1491968212484258,0.1491968212484258
scenario_formality,-0.1176994971351247,0.1176994971351247
C_distance,-0.11592617878159814,0.11592617878159814
bot_initial_C,0.10975453788204281,0.10975453788204281
bot_initial_O,0.10885575548453646,0.10885575548453646
user_initial_C,-0.08057998374354913,0.08057998374354913
scenario_power,-0.07543569372312847,0.07543569372312847
user_initial_A,-0.07189343885629493,0.07189343885629493
O_distance,-0.06529563710330472,0.06529563710330472
bot_initial_E,-0.021225846165030204,0.021225846165030204
user_initial_O,-0.01686730661029345,0.01686730661029345
