feature,coefficient,abs_coefficient
bot_initial_E,-4.546558596252424,4.546558596252424
gpt4omini,2.082802799896507,2.082802799896507
conversation_sentiment,1.2621067530842156,1.2621067530842156
E_distance,1.2502795947287666,1.2502795947287666
scenario_formality,-0.994447720677662,0.994447720677662
scenario_stakes,0.9454202891999638,0.9454202891999638
llama8b,-0.9230418839720758,0.9230418839720758
tulu3,-0.8899850991125063,0.8899850991125063
user_initial_E,-0.7906990144189644,0.7906990144189644
llama70b,0.7630319416992237,0.7630319416992237
qwen7b,-0.6034585199776963,0.6034585199776963
scenario_expertise,-0.44344282129924173,0.44344282129924173
phi4,-0.4375912664777231,0.4375912664777231
scenario_duration,-0.4255474059486647,0.4255474059486647
scenario_emotional,-0.424687206180679,0.424687206180679
scenario_power,0.38922411675868834,0.38922411675868834
user_initial_O,0.2112971007097602,0.2112971007097602
C_distance,-0.20352259873385237,0.20352259873385237
avg_bot_reply,0.19493028024568665,0.19493028024568665
avg_user_reply,-0.18648371048054324,0.18648371048054324
user_initial_C,-0.17442646977420537,0.17442646977420537
bot_initial_N,-0.17270758226579724,0.17270758226579724
bot_initial_A,-0.16087589367796495,0.16087589367796495
bot_initial_O,0.1520112492902328,0.1520112492902328
user_initial_N,-0.13128961643661244,0.13128961643661244
O_distance,0.12865127166092033,0.12865127166092033
bot_initial_C,0.09966035834426412,0.09966035834426412
user_initial_A,-0.07399765551987467,0.07399765551987467
N_distance,-0.04016727010183496,0.04016727010183496
A_distance,-0.01854019527576739,0.01854019527576739
