feature,coefficient,abs_coefficient
bot_initial_N,-4.41497384271134,4.41497384271134
llama70b,3.644941945022557,3.644941945022557
tulu3,-2.8289087335137255,2.8289087335137255
qwen7b,-2.6671177037127505,2.6671177037127505
phi4,2.2039185578706917,2.2039185578706917
conversation_sentiment,1.492034087579227,1.492034087579227
N_distance,1.285640670868903,1.285640670868903
llama8b,-0.8776436193123663,0.8776436193123663
user_initial_N,-0.7251981809660982,0.7251981809660982
scenario_emotional,-0.6602768098056682,0.6602768098056682
scenario_formality,0.5614213729591511,0.5614213729591511
gpt4omini,0.4830392779821825,0.4830392779821825
scenario_duration,-0.36059497645374594,0.36059497645374594
scenario_stakes,-0.1746015879498959,0.1746015879498959
scenario_power,-0.15814158248326576,0.15814158248326576
scenario_expertise,-0.14618061287960177,0.14618061287960177
bot_initial_E,-0.11366462808944156,0.11366462808944156
bot_initial_O,-0.062262097265323196,0.062262097265323196
A_distance,0.058495980855042595,0.058495980855042595
user_initial_A,0.05608169943971659,0.05608169943971659
C_distance,0.048302378548451236,0.048302378548451236
bot_initial_C,-0.04292055331637612,0.04292055331637612
avg_user_reply,0.037938161626878325,0.037938161626878325
O_distance,0.03734243889962119,0.03734243889962119
user_initial_C,0.034570520212514465,0.034570520212514465
E_distance,0.02665044912244241,0.02665044912244241
user_initial_E,-0.025045905965423755,0.025045905965423755
avg_bot_reply,0.017730572319635873,0.017730572319635873
bot_initial_A,-0.01615377149169528,0.01615377149169528
user_initial_O,0.009642627938170889,0.009642627938170889
