feature,coefficient,abs_coefficient
bot_initial_O,-3.7571730337529754,3.7571730337529754
llama8b,-1.5580083448243627,1.5580083448243627
gpt4omini,1.4923027408458527,1.4923027408458527
scenario_formality,-1.201812884386426,1.201812884386426
O_distance,1.1853467034251908,1.1853467034251908
conversation_sentiment,1.1237702128670422,1.1237702128670422
phi4,0.8036729247837645,0.8036729247837645
scenario_stakes,0.7255308408875328,0.7255308408875328
user_initial_O,-0.5591500241177537,0.5591500241177537
avg_user_reply,0.5362167677185667,0.5362167677185667
qwen7b,-0.5173685510880816,0.5173685510880816
scenario_duration,0.33309237821853827,0.33309237821853827
avg_bot_reply,0.16080437277658066,0.16080437277658066
user_initial_N,-0.1531296854894971,0.1531296854894971
scenario_emotional,-0.1475550045405357,0.1475550045405357
user_initial_A,-0.13866317833652642,0.13866317833652642
scenario_expertise,-0.13339359663888217,0.13339359663888217
llama70b,-0.13204853699894847,0.13204853699894847
A_distance,-0.1227966025212738,0.1227966025212738
scenario_power,0.10946528816267981,0.10946528816267981
N_distance,-0.10578116034484389,0.10578116034484389
tulu3,-0.10025921725236583,0.10025921725236583
C_distance,-0.0871127187287684,0.0871127187287684
bot_initial_E,0.0743759295605824,0.0743759295605824
user_initial_C,-0.06912054683992529,0.06912054683992529
bot_initial_N,-0.0661392204953238,0.0661392204953238
bot_initial_C,0.058289306427295476,0.058289306427295476
user_initial_E,0.04183480919674652,0.04183480919674652
bot_initial_A,-0.027898631099302254,0.027898631099302254
E_distance,0.004769869141304103,0.004769869141304103
