gpt4o,gpt4omini,llama8b,phi4,qwen7b,mistral,gemma,scenario_power,scenario_expertise,scenario_stakes,scenario_emotional,scenario_formality,scenario_duration,user_initial_E,user_initial_A,user_initial_C,user_initial_N,user_initial_O,bot_initial_E,bot_initial_A,bot_initial_C,bot_initial_N,bot_initial_O,E_distance,A_distance,C_distance,N_distance,O_distance,conversation_sentiment,avg_user_reply,avg_bot_reply
1,0,0,0,0,0,0,-0.2,0.8,0.9,0.8,0.7,0.6,32.75,50.0,29.75,17.0,40.75,35,46,40,40,45,-2.25,4.0,-10.25,-23.0,-4.25,1.0,24.7,0.0
1,0,0,0,0,0,0,0.7,0.8,0.8,0.7,0.6,0.7,30.0,28.5,48.25,27.75,40.25,35,46,40,40,45,-5.0,-17.5,8.25,-12.25,-4.75,0.9,26.1,0.0
1,0,0,0,0,0,0,0.8,0.5,0.9,0.7,0.9,0.1,25.25,40.0,50.0,31.75,38.5,35,46,40,40,45,-9.75,-6.0,10.0,-8.25,-6.5,1.0,18.9,0.0
1,0,0,0,0,0,0,0.0,0.2,0.2,0.8,0.1,0.1,43.0,17.75,16.5,29.5,37.5,35,46,40,40,45,8.0,-28.25,-23.5,-10.5,-7.5,0.8,25.6,0.0
1,0,0,0,0,0,0,-0.3,0.8,0.5,0.6,0.6,0.1,29.0,10.5,16.25,24.5,15.75,35,46,40,40,45,-6.0,-35.5,-23.75,-15.5,-29.25,-0.8,23.6,0.0
1,0,0,0,0,0,0,0.3,0.8,0.9,0.9,0.6,0.8,29.0,49.75,24.25,38.25,34.5,35,46,40,40,45,-6.0,3.75,-15.75,-1.75,-10.5,0.9,28.3,0.0
1,0,0,0,0,0,0,0.6,0.8,0.5,0.4,0.5,0.3,30.0,46.0,25.0,23.25,30.25,35,46,40,40,45,-5.0,0.0,-15.0,-16.75,-14.75,1.0,25.7,0.0
1,0,0,0,0,0,0,0.8,0.9,1.0,0.8,0.9,0.4,37.5,37.0,21.0,13.25,38.0,35,46,40,40,45,2.5,-9.0,-19.0,-26.75,-7.0,0.7,20.9,0.0
1,0,0,0,0,0,0,0.4,0.7,0.4,0.3,0.5,0.4,21.75,31.0,41.25,28.75,31.25,35,46,40,40,45,-13.25,-15.0,1.25,-11.25,-13.75,1.0,27.0,0.0
1,0,0,0,0,0,0,0.7,0.8,0.8,0.7,0.6,0.7,27.5,47.75,42.0,19.25,48.5,35,46,40,40,45,-7.5,1.75,2.0,-20.75,3.5,0.2,27.6,0.0
1,0,0,0,0,0,0,-0.2,0.8,0.9,0.8,0.7,0.6,33.5,10.0,10.0,38.0,23.5,35,46,40,40,45,-1.5,-36.0,-30.0,-2.0,-21.5,0.5,23.9,0.0
1,0,0,0,0,0,0,0.5,0.8,0.5,0.2,0.6,0.3,12.25,20.0,25.75,26.0,20.75,35,46,40,40,45,-22.75,-26.0,-14.25,-14.0,-24.25,-0.6,24.0,0.0
1,0,0,0,0,0,0,0.4,0.9,0.9,0.6,0.8,0.7,21.75,31.0,41.25,28.75,31.25,35,46,40,40,45,-13.25,-15.0,1.25,-11.25,-13.75,0.9,26.5,0.0
1,0,0,0,0,0,0,0.5,0.8,0.5,0.2,0.6,0.3,29.0,10.5,16.25,24.5,15.75,35,46,40,40,45,-6.0,-35.5,-23.75,-15.5,-29.25,-0.6,23.1,0.0
1,0,0,0,0,0,0,0.6,0.8,0.5,0.4,0.5,0.3,45.5,29.0,13.75,18.75,35.0,35,46,40,40,45,10.5,-17.0,-26.25,-21.25,-10.0,0.9,22.6,0.0
1,0,0,0,0,0,0,0.3,0.7,0.4,0.3,0.4,0.5,46.0,18.75,10.5,34.75,38.0,35,46,40,40,45,11.0,-27.25,-29.5,-5.25,-7.0,1.0,24.7,0.0
1,0,0,0,0,0,0,0.8,0.7,0.9,0.8,0.9,0.1,46.0,21.5,10.75,22.75,34.0,35,46,40,40,45,11.0,-24.5,-29.25,-17.25,-11.0,1.0,24.1,0.0
1,0,0,0,0,0,0,0.0,0.1,0.4,0.6,0.2,0.2,46.0,24.75,19.75,43.0,44.0,35,46,40,40,45,11.0,-21.25,-20.25,3.0,-1.0,1.0,23.6,0.0
1,0,0,0,0,0,0,0.3,0.8,0.9,0.9,0.6,0.8,27.75,45.5,23.5,21.75,29.75,35,46,40,40,45,-7.25,-0.5,-16.5,-18.25,-15.25,0.9,25.5,0.0
